请 您好 请 说   诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   本 机要 申请 宽带 呃 先 新装 的 吗 是 吗   嗯   您 不用 挂 电话 我 帮 您 转到 宽带 专家 这边 给 您 做 申请 一下 我们 专家 为您服务
您好 请 讲   呃 我 想 问 一下 我 那个 宽带 密码 然后 忘 忘 忘记 了 那个 要 要 怎么弄   噢 宽带 的 密码 忘记 了 是 吧 我 这边 直接 重置 一个 密码发送 到 您 手机 上 稍后 您 看 一下 好 吗 噢 好 谢谢 啊 我 直接 发 过去 给 您 通知 您 说 我们 的 这个 客户 有 参加 我们 这个 有 呃 活动 优惠 原价 是 五十元 两 g 的 现在 只要 进行 相应 的 是 二十块 钱 就 有 两 g 流量 我 就 开打 六个月 下个月 生效 我 这边 帮 您 登记 吗   唉呀 噢 那个 我 有 接到 那 那个 电话 嗯 因为 那个 上网 去 你 那个 是 一个月   再见 一个月 等于 自己 只要 出 二十块 钱 就 有 两 g 的 流量 哎 活动 开展 六个月 它 原价 要 五十块 钱 我们 每个 月 给 您 返还 三十块 钱 的 话费 您 看 一下 有没有 帮 您 登记 办理 呢   啊 现在 目前 那个 不要 了 它 是 你 帮 我 把 那个 宽带 密码 嘛 我们
您好 很 高兴 您 服务   哎 你好 我 有 一个 二 g 的 卡想 升级 四 g 它 现在 可以 让 你们 给 我 寄过来 吗 还是 我 一定 要 自己 到 营业厅 去 办理   呃 这个 要 去 营业厅 换卡 这个 没 办法 寄送 非常 抱歉   诶 那 现在 泉州 东海 这边 哪里 我们 也 不 可以 办 的 吗   选择 是 吧 泉州 地区 营业厅 都 可以 呀   我 我 让你能 帮 我查 一下 龙海 哪个 营业厅 可以 开 呃 东海 地区 的 营业厅 是 吧
你好 很 高兴 服务   呃 我 咨询 的 问题 噢 我 那边 有个 宽带 然后 这个 宽带 那个 之前 是 用 是 我 同事 有 的 一个 号码 去 注册 去 注册 那 现在 他 这个 号码 准备 注销 了 然后 那个 宽带 我 又 要 用 我 现在 是 要 办理 什么 业务 呢   稍等一下 你 先 稍等一下 哈   哎 再见   但是 这样 先生 那 比如说 他 那个 宽带 本身 号码 如果 是 没有 活动 现在 确实 可以 办公 那个 销户 为 您 修复 了 那 您 宽带 它 也 没用 不了 啊   对 那 那 我 宽带 我 这边 还要 用
愉快 再见   喂   您好 很 高兴 为您服务   你好 我 想 请问 一下 我 这个 手机号码 拿 去 申请 宽带 怎么 申请   申请 宽带 噢 我 这里 可以 帮 您 转接 我们 那个 宽带 客服 这里 您 可以 申请 办理 一下   嗯 好 谢谢
您好 什么 可以 帮助 您   诶 你好 我 想 问 一下 我 这个 动态 密码 是 多少 你 能 不能 发给 我 一下   您 输入 密码   对 啊   呃 密码 我们 这边 没 办法 发送 因为 我们 也 看不到 您 的 密码 只能 重新 设置 您 可以 用 您 呃 等 那个 身份证 去 营业厅 设置   那 那 你 可不可以 直接 你 发个 短信 我 怎么 设置 我 我 手机
为您服务   诶 你好 噢 对 就是 我 那个 现在 用 的 这个 手机 是 那个 那个 那个 好像 张卡 然后 如果 要换 小卡 那 怎么弄   换卡 就 带 身份证 原件 吗 到 营业厅 换卡 就 可以 了   噢 一定 要 带 身份证 是 吧   好 的 要 带 身份证 对 对 换卡 都 要 身份证 原件 才能 办   那 是 呃 那个
您好 请 讲   你好 我 想 我 的 宽带 密码 忘记 了 怎么 重置 一下   宽带 的 密码 是 吗 请稍等 我 看 一下 本 机 办理 的 移动 宽带 密码 忘记 我 帮 您 重新 设置 一个 新 的 账号 就 您 本 机号码 好 吗 家里 有 路由器 的话 也 需要 设置 一下 我 这边 帮 您 进行 下 发给您 了 请问 还有 什么 可以 帮助 您   不用 了 谢谢
挂机   您好 有 什么 可以 帮 您   喂 你好   您好   所以 我 想 买 一个 流量 包 怎么 怎么弄   流量 包 现在 我们 是 有 一个 按天 折算 的 今天 是 十八号 如果 现在 开通 的话 是 十三块 八毛 一 流量 四百 七十 兆 的 您 看 这个 够不够 四百 七十八
您好 请问 什么 可以 帮 您   哎 你好 我 请问 一下 他 那个 这 张卡 的话 对方 一个 对方 一直 要求 要 过户 的话 那 那 每次 过后 很荣 怎么弄 啊   什么 意思   噢 我 这 张卡 吗 吗   呃   不是 我
您好 请 说   诶 我 怎么 换 套餐 你 那边 有 几个 套餐 可以 用   您 现在 是 八八 的 您 是 觉得 太多 了 还是 太少 了 呢   你 现在 我 感觉 现在 那个 套餐 也 没用 啊 那个 不是 说 现在 的 没有 长途 费用 什么 都 没有 那 就 现在 还 用 那个 套餐 用 吗   你好 您 一个月 大概 流量 我 这边 帮 您 查询 要 不要 直接 帮 您 办 一个 三十八 套餐 您 现在 人 都 是 在 宁德 是 吧   那 不是 这个 意思 我 你 你 你 现在 你们 那边 有 推出 一个 套餐 能 不能 跟 我 讲 一下 好不好 是 哪里
嗯 嗯 您好 很 高兴 为您服务   那个 什么 我 我 这边 的话 是 办 了 一个 宽带 然后 它 改 了 我 没有 我 没有 进行 这个 就是 办理 了 还 还 没有 让 他 上门来 给 我 装 然后 呢 我 就 把 那个 密码 和 那个 账号 给 删 啦 给 就 那条 短信 给 删掉 了 型号 我 应该 怎么办 的 现在 我想装 了 下   那 师傅 还 没 上门 啊   没有 因为 我 不让 师傅 上门 了 吗 那个 我 我 当时 办 了 以后 我办 宽带 然后 因为 我 没有 电脑 嘛 所以 就 没有 什么 用 然后 我 就 说 留 着 短信 然后 让 师傅 回头 我 再 给 客户 打电话 让 他 上门 然后 呢 现在 的 结果 是 就是 我 就 我 一个 校园网 嘛 然后 就要 一个 宽带 加速 然后 我 现在 把 那个 短信 删 了   但是 女士 您 现在 主要 说 要 找 这个 师傅 电话 是 吧   我 现在 要 找 这个 师傅 的 电话 二 幺 找 这个 短信 就是 这个 密码 是 多少
早上好   呃 您好   呃 呃   想 开通 国际漫游 开通 一两天 的话 哎要 怎么弄   啊 国际 您 去 哪里 呢 要 把 国际 长途 功能 跟 漫游 功能 先给 您 打开 您 去 哪个 国家 漫游 使用 到 流量 吗   嗯 嗯 我 去 那个 新加坡 流量 暂时 不 需要 就是 通话 的 时候 要 用
您好 您 请 讲   喂   嗯 您好   你 帮 我 看 一下 我 这个 套餐 怎么 改掉   我 这边 给 您 查询 您 本机 的话 我 看 一下 我 这边 显示 您 下个月 是 有 升级成 一个 新版 的 套餐   怎么 讲
您好 您 说 喂 你好 我 想 问 一下 我 那个 您 说   所以 咱们 自己 到时候 也 用 用 身份证 买过 一个 号码 嘛 它 现在 没用 要 怎么 给 它 注销 掉   如果说 您 用 身份证 买 的 号码 吗 现在 没有 用 是 吧 咱 这 张卡 是 现在 已经 是 空号 还是 说 欠费 了 现在   现在   欠费 了 是 吧 那 您 就是 带上 您 本人 身份证 原件 那 当然 是 泉州 的 吧 是不是 泉州 地区 的   啊 谢
您好 高兴 您 服务   喂 你好 你好   噢 我 现在   出门 几天 那个 手机 没 流量 用 怎么办   嗯 是 去 那个 外省 是 吧   噢
你好 请 讲   哎 怎么 帮 我 开通 那个 短信 业务 那个 号码 卡 放在 那个 手机 表 上面 要 办 什么 业务 开通 短信 业务 我 短信 接收 不了   您 这个 短信 功能 是 吗   对 对   密码 知道 吗   知道
很 高兴 为您服务   诶 您好 诶 你好 请 讲 我 想 问 一下 噢 那个 我 想 今天 过去 那个 澳门 然后 是 怎么 开 流量 的   那 您 去 几天 嘛 号码   一天 一天   一天 的话 那 就 按照 每三兆 三块 钱 一天 三十块 流量 不 限量 使用 在 澳门   那 就 到 你 你 就 帮 我 开通 流量 一天 三十块 的 吧
哦   您好 很 高兴 为您服务 诶 你好   请 说   诶 我 注册 了 一个 那个 手机 邮箱 都 但是 我 那个 号码 现在 处于 停机 保号 的 状态 我 密码 忘记 了 不是 要 怎么弄   密码 忘记 了 是 幺 三九 邮箱 那个 是 忘记 了 密码 对 吗   对 对
您好 请 说 您好 您好 请问 听 得到 吗   哎 你好 你好 问 我 想 问 一下 咱们 这个 不是 有 那个 十块钱 二十四个 小时 开通 十个 零 的 嘛 这个 怎么 开通 啊 对   十块钱 二十四个 小时 十个 g 对 啊   没有 这种 的 呀 先生 过来 看 他们 发了 一个 短信 不是 有 那个 二十四个 小时 的   对   g 啊
您好 请 说 哎 你好 我 想 请问 一下 那个   呃 要 给 别人 送 流量 要 怎么 办法   送 流量 现在 移动 没 办法 直接 转赠 流量 啊 先生   噢 现在 没 办法 转   现在 以前 是 有 的 您 这 您 如果 去 签一 六年 的 时候 一个 活动 现在 没 办法   啊 现在 没 了 是 吧 啊 噢 好 好好 谢谢 啊
您好 高兴 为您服务   你好 我 想 问 一下 我 想 问 一下 信息费 新飞 享 套餐 怎么 办理   今天 想 多少 的 三十八 吗   十八 的   十八 的 那个 暂时 没有 的 办 它 是 新卡 才 有 的   十八 的 是 新 号 都 用 啊 是 的 那 三十八 套餐 那
啊   您好 高兴 为您服务   喂 噢 你好 噢 我 那边 那个 宽带 不用 了 然后 那个 猫 怎么样 收回 去 呢   呃 对 对 对 要 设备 要 拿到 营业厅 给 退掉   噢 自己 拿 去 退 是 吧   呃 对 要 到 营业厅 才能 取消 我们 人工 台 是 取消 不了 宽带 的 噢 行好 谢谢 啊 嗯 嗯 好 那 祝您 万事如意 再
你好 请 说   哎想 问问 一下 我 我 这个 是 我 就 现在 我 这 部手机 就是 我 这部 本 机 就是说 要 开通 国 国际漫游 这 这 这 这 怎么 怎么 开 呀   恩 我 这边 可以 帮 您 开 您 请稍等 我 一下   不是 我 先 问 一下   恩 您 说   呃 我 这个 功能 不要 钱 的
哎   您好 兴 您 服务   唉 你好 我 我 想 问 一下 就是 我要 那个 sim 卡 吗 我 想 换 那个 小 的 就是 那个 四 g 卡 的话 怎么 换 一定 要 到 那个 营业厅 去 换 吗   本人 带上 本人 身份证 本人 到 上海 移动 营业厅 就 可以   噢 以前 我 这个 是 可以 网上 就是 网上 营业厅 身份 然后 好像 是 快递 寄过来 的 是 吧   这种 是 老 的 二三 g 卡 换成 那个 四 g 反正
您好 高兴 为您服务 您好   喂 你好 唉 我 收到 那个 短信 就是说 我们 家里 的 那个 宽带 啊 好像 是 到 最低 还是 下个月 就是 是 要 要 到时候 到期 了 嘛 那 我 想 继续 哎 我 想 续约 一下 怎么弄 呢   手机 密码 知道 吗   手机 密码   是 的   噢 你 你 稍 等 啊 你好 发 信息 也 没收 到 啊 就 这个 无所谓 的 啦 没 了 刚才 不是 说 一直 呃 你 等 我 也 不 噢 呃 呃 我 没 试一下 吗
您好 很 高兴 为您服务   喂 你好 你好 那个 我 手机 密码 不 知道 我 我 怎么 改   呃 可以 去 重置 一下 发送 密码 两个 字 到 幺 零零 八六 根据 短信 提示 就 可以 重置 密码 的   呃 我 发送 怎么 老是 退 了   擅自 就是 中 文字 密码 这 两个 字 发到 幺 零零 八六   怎么 怎么 发送
您好 很 高兴 为您服务   唉 我 这个 手机 那个 呼叫 等待 怎么 怎么弄 手机 啊   呃 就是说 我 知道 就 比如说 您 在 跟 我 通话 是 另 一个 电话 能 打 进来 您 可以 选择 接听 不 接听 这个 功能 对 吧 那 您 已经 开通 了 但是 您 要 激活 一下 拨打 激活 的 方式 呢 下 发给您 了 您 可以 看 一下   好 的 好 的   还有 什么 可以 帮 您   对 对
高兴 为您服务   哎 你好 我 想 就是 等等 我 那个 走 那个 数据   是   就 等 一下 然后 他 怎么 说 是 那个 手机 密码 我 这个 那么 它 说 那 时候 我 忘掉 了 那个 怎么 查询   没 密码 查不到 只能 设置 一个 新密码 的 您 要 剩 的话 通过 公司 的 一个 信号 来 设置 他 他 他 到时候 让 您 说 公司 的 一个 证件号码 说 这个 十号 就行了 然后 发送 短信 设置 代码 是 幺 零六 三 发给 幺 零零 八六   幺 零六 三 发送 幺 零零 八六是 吧 幺 零零
您好 很 高兴 为您服务   喂 你好   您好   呃 我 这个 套餐 了 我 不想 用 了 我 要 改成 十八块 钱 的 怎么 改   本来 是 十八块 钱 套餐 是 吧   是 吧
您好 很 高兴 为您服务 哎 我 想 问 一下 就是 我 现在 有 一个 彩信 广告 啊   恩   老是 发 我 怎么样 能够 取消 啊 我 想 把 它 取消 掉 是 什么 号码 发给你 的 三 幺 二 五八 零 大概 幺 二 五八 零五 全国 播报   那 我 帮 您 把 这个 业务 取消 掉 您 的 密码 知道 吗 不 客气   知道   请 根据 语音 提示 输下 服务 密码
您好 很 高兴 服务 您好 很 高兴 服务   唉 你好   你好   呃 我 想 问 一下 就是 我 这个 手机 加 流量 怎么 加法   加 流量 您 是 这个 月加 是 吗   啊 对 对 对
很 高兴 为您服务   哎 你好 我 想 问 一下 我 想 开通 那个 电子 发票 怎么 开 啊   电子 发票 就是 我们 这边 帮 您 开通 的 每个 月 电子 发票 自动 发给您 那个 幺 三九 邮箱 里面 的 问 一下   噢 你 帮 我 开通 一下 吧   好 的 那 先生 那 那   那 如果 我 想 之前 的 怎么办 呢
您好 很 高兴 服务   啊 你好 就是 我 想 现在 这个 发票 啊 就是 账单 发票 等 都 是 电子 的 嘛   对   唉 我 这个 怎么 怎么 弄法 啊 我 只要   七月份 发票 女士   从 三月份 到 到 现在 的
为您服务   唉 你好 那个 我 想 咨询 一下 就是 比如说 我 那个 电话 手表 想办 一张 卡 这个 要 去 移动 营业厅 吗   呃 这个 就 是不是 一定 要 去 营业厅 办 就是说 您 要 办 一个 新 的 号码 这 意思   嗯 嗯 对方 在 那个 小孩 是 用 的 那种 电话 手表 上 我 这边 看 您 设备 支 不 支持   还是 一般 的 时候 手机卡 吗 还是 有 什么 特别 的 作用 的 就是 还是 怎么样 因为 手机卡 的话 就 这 两个 这些 要么 就 大小 问题 那 我 就 类型 问题 他 说 他 如果 是 一般 手机卡 要 办新 号码 的话 嗯 嗯 营业厅 办 就 带 身份证 办 因为 它 说 是 名字 或者 也 是 代理点 也 可以 办卡 的 谢谢   代理点
噢 您好 很 高兴 为您服务   不 客气   喂   唉 您好 您 说   帮 我 这个 这边 有 那个 国际 就是 那个 流量 包 怎么 加 的   嗯 您 是 要 家庭 流量
您好 高兴 为您服务 您好   哎 你好 我 想 请问 你们 幺 零零 八六 就 每天 都 在 做广告 的 说 是 一 百兆 的 宽带 一年 是 一百二 这个 业务 要 怎么 去 办理 有 什么 条件 没有   有 的 条件 是 有 的 首先 您 这个 套餐 是 不 符合要求 的 你 肯定 要 改 套餐 就 第一个 第二个 的话 您 是 您 这边 的话 是 公司总部 的 吗   我 这个 手机 是 公司 重复 的 对 的   那 这边 的话 就是说 您 需要 一定 要 这个 号码 申请 的话 您 还要 咨询 一下 公司 你 要 问 一下 因为 您 公司 都 不能 改能 能 不能 改 公司 套餐 我们 这边 没有 办法 确定   噢 唉 我 这个 手机 可以 把 公司 的 呃 那个 账号 改成 个人 的 账号 这个 是 实名制 以后 公司 就 这个 呃 希望 我们 这样 做
您好 高兴 为您服务   唉 你好 我 想 问 一下 我 现在 装 的 这个 宽带 好像 到 这个 月 月底 到期 了 是 吧   嗯 对 到 月底 是 的   唉 那 然后 到期 之后 是 怎么 处理   您 是 要 续约 还是 我 看 他 现在 已经 续 了 如果 您 不 需要 续约 的话 月底 前 拿到 合资 还有 您 的 身份证 到 上海 移动 营业厅 注销   那 续约 的话 是 怎么 续 吧
您好 很 高兴 服务   你好 我 问 一下 我 那个 充 话费 那个 那个 发票 怎么办 呀   好 发票 你 要 开 几月份 的 发票 五月份 的 吗   我 一直 都 要   好 那 这边 可以 帮 您 办理 一下 服务 密码 知道 吗   不 知道
