你好 请 讲 其他   先生 嗯 请 讲
您好 请 讲   噢 有 一个 移动 公司 免费送 的 流量 九十 十一 送 三个 月 时间 每个 月 送 两个 g 的 省内 流量 然后 十二月 一号 就 自动 取消 了
您好 请 说 您好 您 请 说   嗯 开通 哪些 业务 对 吗
您好 您 说   您 这 张卡 的 套餐 是 全家 统 套餐 一百八十 八元 然后 套餐 之外 我 看 了 一下 您 这个 号码 并 没有 其他 的 额外收费 项目 了 您 自己 付费 的 就是 一个月 一百八十 八元 套餐 费
很 高兴 为您服务 您好   你好
你好 请 讲   业务 其他 业务 是 吧 有 一个 来电 提醒 下个月 取消 了 还有 彩印 对 下个月 取消 现在 有个 彩铃
好 您好 请 说   呃 请稍等
您好 请 讲 您好   您好 您 说
您好 很 高兴 为您服务   哪些 业务 是 吗 除了 那个 任 我 用 幺 三八 还有 一个七十 元 的 可选 包订 到 十二月 一号 结束 其他 的 业务 就 没有 啦
您好 请 讲   很 抱歉 如果 您 玩游戏 扣 了 一个 二十九 块钱 的
您好 请 讲   月租费 五块 钱 有 要求 每个 月 最低 消费 二十块 没有 用到 十块钱 按照 十块钱 扣
嗯 您好 请 讲   幺 五八 的 嗯 号码 一下 号 报 给 你 吗 嗯
哎   您好 很 高兴 为您服务
您好 您 说 你 好好   好 请 您 稍等一下 好 谢谢 谢谢 嗯 不 客气 这 张卡 套餐 就 只有 八十 八块钱
嗯 嗯   您好 请 讲
您好 请 讲   嗯 幺 五零
喂 您好   呃 您 稍等一下 呃 幺 五零 尾号 是 二 幺 二 二 的 号码 给 您 出 这个 号码 的 费用 了
您好 请 讲   请稍等 我 帮 您 查 一下 诶 诶 呃 是 有 一个 咪咕 音乐 那个 是 彩铃 女士 这个 需要 取消 是 吗
您好 请 讲   套餐 是 八十八 的
您好 请问 什么 可以 帮到 您   呃 二十元 流量 还有 您 套餐 十八块 那 这个 就 三十八 了 然后 如果 是 天气预报 三块 还有 个 家庭网 目前 就 这些 别的 没有
诶 你好   嗯 可以 啊 这 张卡 现在 费用 的 套餐 是 十八块 钱 的 本地 打 国内 电话 两百 分钟 福建省 内 上网 流量 三百 兆
您 这个 是 咪 咕特费 就是 彩铃要 吗   还有 就是 基础 套餐 三十八 来电 提醒 两块 呃 其他 的 您 稍等一下 啊
您好 请 说   呃 对 我
您好 请 讲   好 的 帮 您 取消 下个月 失效 这个 月 还 可以 用 六 零零
幺 五 您好 请 说   本 机 的话 是 五十块 钱 的 流量 卡 套餐 有个 两块钱 的 来电 提醒 然后 一个 彩铃 功能
您好 请 讲 其他 的   诶 您好 请 说
您好 请 说   嗯 没错 是 的
你好   好 我 给 您 看 一下 嗯 嗯 谢谢 目前 查询 游戏 的 之前 倒 是 有 订购 的
呃 您好 请 说   好 的 您 稍 等 我 看看 一下
您好 请 讲   好 的 请稍等 感谢 耐心 等待 这边 帮 您 查询 本 机号码 目前 没有 这 相关 业务
对 您好 请 讲   呃 您 的 这个 有 开通 一个 月租 六块 来电显示 六块 有 开通 这 两个 业务
您 很 高兴 为您服务   你好
您好 请 讲   您 用 的 是 一百二十八 的 套餐
您好 请 说   这 张卡 就 八十八 套餐 然后 来电 提醒 功能 费 这些 其他 的 没有 了
您好 您 请 讲   您 这 张卡 目前 有办 全球通 八十八 的 当地 套餐 还有 办 了 一个 下个月 有 申请 办 了 一个 五十元 的 上网 套餐
您好 请问 什么 帮 您   套餐 一百二十八 的
你好   您 的话 等于 说 您 这 五十八 套餐 您 去 外 外地 跟 在 您 的 余额 是不是
您好 请 说   如果 有 开过 了 已经 之前 有 开过 的
那 请 您   没有 您 是 八块钱 的 没有 办 三十八 的
您好 请 讲   有 啊 有 个 宽带 家庭 宽带 一个月 二十一 块钱 的 第一年 有 优惠 第一年 免费 第二年 收费 的
生效 好 的 您好 请 说   看 一下 十一月 七号
你好 请 说   嗯 您 这边 的话 是 一个 基本 的 三十八 套餐 另外 呢 呃 有 一个 音乐 包 啊
高兴 服务   二行 飞享 三十八 元 的 b 套餐 三十八
哎 您好 请 说   好 您 稍 等 我 帮 您 看 一下 您 现在 是 遇到 什么 问题 了
您好 很 高兴 为您服务   您 这边 的话 您 是 一个 飞享 三十八 元 的 套餐 里面 本来 有 五百 兆 流量 另外 您 还 开 了 一个 十块钱 一 百兆 的 流量 包 然后 呢 您 还有 赠送 一个 g 的 省内 流量
您好 很 高兴 为您服务   一百五十 八 商旅 套餐 先生 九百 分钟 打电话 六百 兆 流量 跟 来电显示
您好 请 说   对 是 这个 活动 我 帮 您 登记 下个月 一号 取消 流量 这个 月 内 可以 用 好 吗
嗯 诶 您好 请 讲   有 那个 来电 提醒 那有个 彩铃 还有 一个 彩印 这
您好 很 高兴 为您服务   有
您好 请 说 您好   噢 好 的 您 这边 有个 彩印 三块 钱 跟 那个 来电 提醒 三块 就 这 两个
您好 请 讲   套餐 我 帮 您 看 了 一下 您 十八块 钱 您 说 的 这个 无线 咪咕 特级 会员 跟 彩印 的 业务 这个 之前 送 的 噢 送 那个 三个 月 的 您 看 如果 不 需要 我 这边 可以 帮 您 做 取消
你好 请 讲   好 的 稍 等 我 给 您 查 一下
您好 请 讲   幺 三 七七
您好 您好 请 讲   对 下个月 一号 开始
您好 请 讲   我 帮 您 看 一下 这边 的话 是 看到 您 十月 十九号 的 时候 办理 的 您 是 说 您 自己 没有 办理 过 这个 活动 是 吗
您好 请 说   啊 这个 我们 这边 查看 不到 您 的 服务 密码 如果 是 您 的 本机 是 吧
哎 您好 请 讲   一卡多 号 我 看 一下 您 稍 等待
不要 您好 很 高兴 为您服务 您好 很 高兴 为您服务   您 收费 的 除了 您 本身 一个 一百三十八 元 的 套餐 之外 给 您 看 了 一下 您 现在 有 一个 全球通 秘书 十块 还有 您 这边 的话 一个 彩铃 功能 其他 的话 给 您 看 了 一下
呃 请 说   好 的 稍 等 我 看 一下
您好 请 讲   比如说 八十八 套餐 那 您 这边 我 看 了 一下 是 有 给 您 送 了 一个 幺 三九 邮箱 这个 是 送 一年 的 时间 的
您好 请问 什么 可以 帮 您   嗯 现在
恩 你好 请 讲 这 样子   短信 功能 好 帮 您 看 一下 啊 好 到 短信 功能 这边 关掉 了
您好   嗯
哎 您好 请 说   您 现在 办 的 是 八块钱 的 套餐
嗯 您好 喂 你好 嗯 嗯 噢 是 这 样子 g 的 流量 包 这个 月 用 还是 以后 每个 月 都 要   好 的 我 帮 您 先 看 一下 您 看 一下 咱们 开 一个 多少 的 比较 合适
好 的 您 这个 套餐 是 七十九 块钱 的   嗯 女士 没有 其他 的 收费 业务 了
您好 请 说   我 看 一下 您 手机 上 除了 基本 的 套餐 以外 有 来电 提醒 和 咪 咕 会员
您好 什么 可以 帮助 您 的 你好 呃 我 想 问 一下 我 现在 那个 有   这个 是 大声 一些 吗 我 我 就 在 那个 这 张卡 里面 就是
您好 请 说   号码 的话 除了 八十八 的 基础 套餐 以外 还有 个 两元 钱 的 一个 来电 提醒 其他 没有 了 这个 月 是 属于 消费 这么 多钱 噢 帮 您 看 了 一下 是 流量 超 了 三十三 块 六 毛八 上网 流量 超
您 请 讲 喂 你好 诶 您好 请问 什么 可以 帮到 您   唉 那 你 办事 流量
您好 很 高兴 为您服务   它 是 动感地带 十八元 的 套餐 这边 送 了 两 百兆 流量 加来 显
您好 请 讲   噢 好 我 查看 一下 呃 是 有 个 流量 活动 就 那个 五十块 的 流量 活动 它 是 每个 月 返还 三十 就 您 只要 付 二十块 钱 就 两个 g 流量 活动 是 连续 六个月 六个月 后 自动 取消
您好 请 说 您好   诶 好 您 稍 等 马上 给 您 查 一下 嗯 说 您 自己 基本 套餐 以外 的话 您 这里 的 业务 的话 开通 一个 短信 套餐 还有 一个 来电 提醒
您好 很 高兴 为您服务   您 请 说
您好 很 高兴 为您服务 喂 你好 我 想   嗯 马上 给 您 查 一下 看到 您 是 下个月 改 成功 了 八十 八块钱 套餐
你好 你好 你好   十八 套餐 一百 分钟 一 百兆 流量
您好 请 说   您好
您好 请 说 你好   你好
您好 很 高兴 为您服务   您 现在 这张 号码 卡 收费 的 除了 您 本身 套餐 之外 来电 提醒 要 取消 吗
谢谢您 好 请 讲   这个 十八块 钱 的 新飞 享 套餐 套餐 之外 的话 我 看 一下 别的 没有 什么 收费 的 业务 了
您好 很 高兴 为您服务   嗯 对 的
早上好 请 讲   您 现在 这个 是 飞享 三十八 套餐 它 有 一百 分钟 本地 使用 五百 兆 国内 流量 跟 来电显示 一个月 三十八 元
不 客气 您好   嗯 请 讲
您好 高兴 为您服务   请 稍等一下
您好 很 高兴 为您服务   呃 有 宽带 专席 需要 查询 什么 呢
您好 请 说   本 机号码 有办 宽带
愉快 再见 您好 很 高兴 您 服务   那 安心 包 的 您 要 下个月 关掉 下个月 开始 才 能够 直接 扣 十块 的 那 这个 月 它 就是 按照 安心 包 的 了
您好 请 说   您 稍 等 我 看 一下
幸福 您好 请 讲 您好 请 说   呃 我 听不清 麻烦 您 重复 一下
您好 请 说 你好   呃 您 现在 就 十八 套餐 呀 下个月 就 改成 那个 七 七十九 套餐 了
您好 请 讲 你好 你好 嗯 呃 您好 您好 请 说   我 看 一下 手机 的话 这边 除了 套餐 的话 十八块 钱 其他 业务 就 没有 开通 了
你好 请 讲   稍 等 这个 到 目前 用 了 十八块 四毛 套餐 费 十八块 然后 短信 费 四毛
您好 请 讲   不过 还有 几个 月 二月 一号 到期 的 然后 到期 自动 取消 的 二月 一号 明天 二月 一号 吗 对 对 就 在 用 三个 月 时间
您好 请 说 呃 您好 我 看   好 的 您 稍 等 哈 呃 您好 您 这里 是 三十八 元 的 全球通 飞享 套餐 然后 有开 了 一个 三十块 钱 五百 兆 的 流量 包 那 下个月 您 要 转成 五十八 的 一个 新飞 享 套餐 业务 的话 其他 是 没有 绑定 了
您好 请 说   为 您 查询 一下 有 一个 六十块 六 g 流量 那个 是 之前 八月份 办理 的
恩好 的 没有 关掉   请 稍等一下 我 看 一下
您好 请 讲   哎 您好
您好 您 请 说   请稍等 我 看 一下 记录 您 这个 是
您好 请 讲   恩 可以 我 给 您 看 一下 昨天 我 今天 没 开通 什么 新 的 没有 啊 你 有 收到 什么 短信 但是 您 订 了 什么 业务 吗
您好 请 说   好 稍 等 记录 扣 你好 你 本机 下个月 除了 基本 套餐 另外 有个 彩铃 功能
您好 请 讲   十八块 钱
下午 好 有 什么 帮助 您   加 套餐 三十 八块钱 噢 有 个 来电 提醒 两块
您好 请 说   哦
您好 很 高兴 为您服务   来说 是 的
下午 好 很 高兴 您 服务   目前 套餐 七十九
我们 您好 请 说   噢 好 的 我 帮 您 看 了 一下 套餐 有开 一个 三十元 的 上网 流量
您好 很 高兴 您 服务   嗯 嗯
你好   宽带 密码 忘记 了 是 吗
你 要 你好 诶 你好 哎 你 说   稍 等 帮 您 查 一下 啊 行好 您 这边 本身 是 一百二十八 套餐 额外 有 一个 两块钱 的 一个 来电 提醒 然后 还有 一个 集团 微 天网 然后 还有 个 三十块 钱 五百 兆 的 流量 套餐 这些
您好 请 说   嗯 帮 您 查 什么 呢
您好 高兴 为您服务   您好 请 说
您好 什么 可以 帮 您   啊 对 是 的
工   您好 什 帮助 您
您好 有 什么 可以 帮助 您   目前 您 这个 除了 五十八 套餐 的话 有 一个 来电 提醒 业务 两块钱 还有 一个 十块钱 一 g 的 夜间 流量
您好 很 高兴 为您服务   你好 请 说
好 的 请稍等 这 张卡 这 五十块 钱 流量 套餐 月底 取消 掉
您好 高兴 您 服务   呃 就是 套餐 三十九 其他 的 您 稍等一下 正在 帮 您 查
您好 请 讲   好 除了 十八元 套餐 来电 提醒 以外 有 音乐 十块钱 包月 还有 社会 观察家 还有 淘 女郎 飞享 或 这 几个 包月 的 要 不要 取消 掉
您好 请 讲   对 是 的 一千五百多 兆 流量 都 是 只能 福建省 之内 用 的
很 高兴 为您服务   呃 您 告诉 我 号码 多少
下午 好 请 说   噢 对 没错
高兴 您 服务   嗯 你好 您 说
您好 高兴 为您服务   请稍等 我 马上 查 一下
您好 请 讲   现在 开通 什么 套餐 是 吗
您好 请 说   本 机 套餐 三十八 的 套餐 就是 您 的 基本 套餐
你好   下个月 您 稍 等 噢 已经 成功 了 新版 的 五十八 噢
您好 请 说   噢 好 请稍等
您好 请 说   十八
早上好 请 讲   啊 您 现在 这个 套餐 的话 呢 就是 一个 十八块 钱 一个月 的
你好   这个 套餐 十八块 钱 一个月 另外 有 来电 提醒 每个 月 三块 钱
你好 请 讲   您 现在 基本 套餐 是 三十八 元 的 五百 兆 流量 一百 分钟 本地 拨打 国内 通话 的 分钟 数 另外 您 有 订购 一个 六十元 六个 g 的 流量 现在 您 这边 的话 流量 也 噢 这个 六十元 六个 g 的 还有 六个 g 没有 用 就 您 有 个 直 都 没有 用 然后 省内 流量 的话 是 有 还有 一 百兆 另外 活动 赠送 的 还有 一个 g
你好   您 本机 目前 的 月租 是 五十块 钱 的 然后 有 参加 活动 办理 嗯 有 参加 活动 还是 什么 呢 两 g 的 国内 流量 跟 来电显示
您好   嗯 增值 业务 的话 就是 一个 是 上网 的 流量 十块钱 一 百兆 另外 有个 是 来电 提醒 每个 月 两块钱 噢 另外 的话 就是 您 收费 的 业务 就 增值 业务 就 这 两个 另外 的话 就是 之前 做 活动 他 有 送给 您 一个 手机 动漫 手机 动漫 的话 是 送 的 活动 到期 自动 取消 掉
您好 高兴 为您服务   改了 一个 什么 幺 八八 全家 统 的话 是 吧 对 您 帮 我 直接 改回去 吧 就 原来 的 那个 套餐 就 可以 还是 跟 原先 的 八十八 元 套餐 是 吗
您好 有 什么 可以 帮 您   诶
您好 请 讲   您 稍等一下
您好 很 高兴 您 服务 您好   嗯 套餐 五十八 的 下个月 是 改成 新飞 享 五八 套餐 了
您好 请 说   有 宽带 您 稍 等 我 帮 您 看 一下
您好 高兴 为您服务   那 是 针对 于 我 看 是 有 个 余额 支持 三块 钱 呢 然后 的话 还有 一个 六块钱 短信 两块钱 来电 提醒 这些 都 要 帮 您 都 关掉 吗
你好 您好 您 说   可以 啊 您 稍 等 好 的 这个 号码 办理 的 吗
您好 请 说   对
您好 请 说 您好   您 这 号码 的话 用 的 是 神州行 家园 卡 还有 一个 是 来电显示 还有 一个 咪咕 音乐
您好 请 讲   我 看 一下
您好 很 高兴 为您服务   我 看 您 现在 手机号码 上 就 只有 来电显示 还有 月租费 其他 没有 的
您好 请 讲   我 帮 您 查 一下 您 本机 除了 一个 五十八 套餐 以外 有个 五十块 钱 的 一个 流量 还有 一个 五块 钱 的 语音 优惠 套餐 包
您好 什么 帮助 您   噢 五十元 是 吧 好 的
您好   彩铃 吗 我 看 一下 已经 取消 掉 了 呀 这个 月 已经 没有 啦
您好 请 讲   嗯 稍等一下 我 看 一下
您好 请 讲   嗯 您 稍 等 所以 您 这边 就 飞享 套餐 三十八 元 的 另外 有个 十块钱 在 指定 的 服务 区内 就 说 流量 没有 限制 可以 没有 限制 的 一个 可选包 别的 没什么 有个 来电 提醒 彩铃 彩印 这些 是 您 新 买 卡 它 有 做 活动 吗 是 免费 赠送 和 你 有些 是 赠送 都 已经 有 登记 取消 了 您 除了 就 三十八 跟 那个 十元 的 流量 啊
您好 您 请 说   套餐 用 的 是 二十八 元 套餐 呃 帮 您 下个月 改成 十八元 套餐 了 呃 出去 以外 您 这边 增值 业务 都 没有 办理 过 呀
您好 什么 可以 帮 您   我 帮 您 马上 看 一下 您 稍等一下
您好 很 高兴 为您服务   套餐 是 十八块 钱 的
