你好请讲其他 先生嗯请讲 这边帮您看了一下有收费的业务套餐费一个月八十八然后这边有一个来电提醒一个月三块钱然后有一个彩铃六块彩印三块手机阅读六块没有其他扣费了 
您好很高兴为您服务喂你好我想 嗯马上给您查一下看到您是下个月改成功了八十八块钱套餐 它里面的分钟数是九百分钟是本地的就是说在龙岩打电话是龙岩还是龙岩地区这个地区就是龙岩地区就可以了 
你好你好你好 十八套餐一百分钟一百兆流量 嗯可以的稍等一下啊稍等一下上个月消费十八块钱 
您好请说 您好 好请稍等 
您好请说你好 你好 你好 
您好很高兴为您服务 您现在这张号码卡收费的除了您本身套餐之外来电提醒要取消吗 嗯是不要取消还是不要要取消 
谢谢您好请讲 这个十八块钱的新飞享套餐套餐之外的话我看一下别的没有什么收费的业务了 对 
您好很高兴为您服务 嗯对的 量点多是吧 
早上好请讲 您现在这个是飞享三十八套餐它有一百分钟本地使用五百兆国内流量跟来电显示一个月三十八元 所以说想要套餐价格调低一点对吧 
不客气您好 嗯请讲 刚才吗我看一下 
您好高兴为您服务 请稍等一下 噢您这边的话呢现在使用的是三十八块钱的套餐然后另外呢是开通了一个来电提醒两块夜间流量有个十块然后上网流量套餐呢还开了一个三十块钱五百兆的然后另外还绑定了一条宽带我开通业务总共就这些 
您好很高兴为您服务 呃有宽带专席需要查询什么呢 您是六十九套餐它里面有送宽带啊 
您好请说 本机号码有办宽带 个月 
愉快再见您好很高兴您服务 那安心包的您要下个月关掉下个月开始才能够直接扣十块的那这个月它就是按照安心包的了 不要给我关掉呢 
您好请说 您稍等我看一下 感谢您的耐心等待帮您看到您现在就是五十八的套餐一个彩铃业务五块另外您这有个宽带的业务他明明年的话有再收费今年是没有还有一个是宽带呃就是还有个家庭网其他没有了 
幸福您好请讲您好请说 呃我听不清麻烦您重复一下 对有申请一个三十有申请一个五十块的流量套餐有参加活动捆绑一年的时间从下个月开始生效 
您好请说你好 呃您现在就十八套餐呀下个月就改成那个七七十九套餐了 嗯你先你下个月把办的雪七十九套餐没有没有返还没有看到返还话费的活动 
您好请讲你好你好嗯呃您好您好请说 我看一下手机的话这边除了套餐的话十八块钱其他业务就没有开通了 
你好请讲 稍等这个到目前用了十八块四毛套餐费十八块然后短信费四毛 你刚购买的流量就成呃我看一下稍等话费里面目前是没有看到扣就像流量的没有的 
您好请讲 不过还有几个月二月一号到期的然后到期自动取消的二月一号明天二月一号吗对对就在用三个月时间 恩好我今天取消先先取消我看一下 
您好请说呃您好我看 好的您稍等哈呃您好您这里是三十八元的全球通飞享套餐然后有开了一个三十块钱五百兆的流量包那下个月您要转成五十八的一个新飞享套餐业务的话其他是没有绑定了 可以啊那就这个帮您取消流量这个月给它用完了下个月就没有了嗯嗯好好好那给您关了还有什么其他需要帮助吗 
您好请说 为您查询一下有一个六十块六g流量那个是之前八月份办理的 九十五g噢那个流量是这样子它那个是一个手机阅读的这时候说要观看咪咕阅读才能使用到这个流量都是看书的 
恩好的没有关掉 请稍等一下我看一下 因为这个套餐里面本身有一百兆流量您刚才没有用啊 
您好请讲 哎您好 好稍等给您看一下嗯嗯电手机除了八块钱的套餐之外有一个三十元五百兆的流量然后一个来电提醒三块钱下个月到期了一个彩铃跟彩印六块钱的彩铃跟三块的彩印的是都是下个月到期这个如果不要都要关闭不然下个月正常开始计费那清单的话没有了就这些 
您好您请说 请稍等我看一下记录您这个是 您这个十八元套餐下个月那改成的是五十八套餐了 
您好请讲 恩可以我给您看一下昨天我今天没开通什么新的没有啊你有收到什么短信但是您订了什么业务吗 噢好那有可能是手机中病毒了会有这个情况现在我看到没有开通我手机都没用诶我这个 
您好请说 好稍等记录扣你好你本机下个月除了基本套餐另外有个彩铃功能 好好谢谢您好已经帮您取消了那其他收费项目的话都没有办 
您好请讲 十八块钱 本地拨打国内电话流量一百兆 
下午好有什么帮助您 加套餐三十八块钱噢有个来电提醒两块 哎彩印取消了那就是集团网别的就没有了套餐是三十八块然后家庭网 
您好请说 哦 五十八套餐有个三十元流量还有一个来电提醒其他的您稍等嗯目前就这些了其他收费暂时没有啦 
您好很高兴为您服务 来说是的 呃您好您说 
下午好很高兴您服务 目前套餐七十九 次 
我们您好请说 噢好的我帮您看了一下套餐有开一个三十元的上网流量 其他的没有就这一个 
您好很高兴您服务 嗯嗯 请您稍等是的没错 
你好 宽带密码忘记了是吗 那我这边把新的密码直接重新发送到您短信上面您接收一下噢 
你要你好诶你好哎你说 稍等帮您查一下啊行好您这边本身是一百二十八套餐额外有一个两块钱的一个来电提醒然后还有一个集团微天网然后还有个三十块钱五百兆的流量套餐这些 我这边看了一下您这边一百二十八套餐下个月改一百八十八的三十块的流量套餐也已经取消了这边下个月就没了然后下个月这边您这边是有个呃集团网也不要是吗不用集团网福建诚结走程有限公司那帮您取消下个月没掉可以吗 
您好请说 嗯帮您查什么呢 诶好的目前帮您查询用的是我们九九的和家庭套餐除了九十九以外当前您开通的业务有来电提醒和手机阅读还有一个三明教育行业都千瓦其他就没有了 
您好高兴为您服务 您好请说 呃目前的话是四g商旅八十八元套餐三百五十分钟三百兆流量 
您好什么可以帮您 啊对是的 您这边十八号的时候办理的已经生效了现在都可以使用的现在都可以使用的意思是吧 
工 您好什帮助您 噢收费的是吧您这个就是一个基本月租十八提醒开一个两块然后有个阅读还有彩铃开一个六块的 
您好有什么可以帮助您 目前您这个除了五十八套餐的话有一个来电提醒业务两块钱还有一个十块钱一g的夜间流量 夜间流量帮您关掉是吗 
您好很高兴为您服务 你好请说 诶嗯什么彩印活动是不是啊嗯我有个彩印 
好的请稍等这张卡这五十块钱流量套餐月底取消掉 
您好高兴您服务 呃就是套餐三十九其他的您稍等一下正在帮您查 嗯先生您好您这边还有一个是彩铃功能五块还有个个性化彩铃五块 
您好请讲 好除了十八元套餐来电提醒以外有音乐十块钱包月还有社会观察家还有淘女郎飞享或这几个包月的要不要取消掉 可以好稍等一下卡 
您好请讲 对是的一千五百多兆流量都是只能福建省之内用的 十块钱只有一百兆啊 
很高兴为您服务 呃您告诉我号码多少 幺三六零零九三五八零六啊对啊这边请您根据语音提示先输入下它的服务密码按井号键转回来 
下午好请说 噢对没错 您想一个新的地方是吧还是说重新再办一个 
高兴您服务 嗯你好您说 我这边帮您看了一下您这号码的家庭网目前呃是有一个家庭网别人加您的 
您好高兴为您服务 请稍等我马上查一下 限速目前是没有限速的女士 
您好请讲 现在开通什么套餐是吗 请稍等 
您好请说 本机套餐三十八的套餐就是您的基本套餐 一百兆流量来电显示要改这个对吗 
你好 下个月您稍等噢已经成功了新版的五十八噢 改八十八是吧您都在南平是吧 
您好请说 噢好请稍等 有就是有来电提醒和彩铃增值业务都帮您关掉吧 
您好请说 十八 不是你的教育基本费不是办十八块钱另外的流量开通彩铃啊还有音乐盒还有一些就是腾讯黄呃重新预装了这些都要另外扣费 
早上好请讲 啊您现在这个套餐的话呢就是一个十八块钱一个月的 呃然后您另外的话还有开了一个七十块钱的流量包但是它这个只收您三十五块 
你好 这个套餐十八块钱一个月另外有来电提醒每个月三块钱 呃彩铃五块彩印三块就这些 
你好请讲 您现在基本套餐是三十八元的五百兆流量一百分钟本地拨打国内通话的分钟数另外您有订购一个六十元六个g的流量现在您这边的话流量也噢这个六十元六个g的还有六个g没有用就您有个直都没有用然后省内流量的话是有还有一百兆另外活动赠送的还有一个g 恩对 
你好 您本机目前的月租是五十块钱的然后有参加活动办理嗯有参加活动还是什么呢两g的国内流量跟来电显示 一个五十元流量套餐参加活动的打四折您自己只要付二十块的还有一个家庭亲情网三块其他收费本就就没了对它扣钱的话是还是扣五十吗扣二十移动公司会帮您付剩下的三十 
您好 嗯增值业务的话就是一个是上网的流量十块钱一百兆另外有个是来电提醒每个月两块钱噢另外的话就是您收费的业务就增值业务就这两个另外的话就是之前做活动他有送给您一个手机动漫手机动漫的话是送的活动到期自动取消掉 到期会取消吗嗯对没错到期会自动取消那您不用管它 
