你好请讲其他 先生嗯请讲 
您好请讲你好你好嗯呃您好您好请说 我看一下手机的话这边除了套餐的话十八块钱其他业务就没有开通了 
你好请讲 稍等这个到目前用了十八块四毛套餐费十八块然后短信费四毛 
您好请讲 不过还有几个月二月一号到期的然后到期自动取消的二月一号明天二月一号吗对对就在用三个月时间 
您好请说呃您好我看 好的您稍等哈呃您好您这里是三十八元的全球通飞享套餐然后有开了一个三十块钱五百兆的流量包那下个月您要转成五十八的一个新飞享套餐业务的话其他是没有绑定了 
您好请说 为您查询一下有一个六十块六g流量那个是之前八月份办理的 
恩好的没有关掉 请稍等一下我看一下 
您好请讲 哎您好 
您好您请说 请稍等我看一下记录您这个是 
您好请讲 恩可以我给您看一下昨天我今天没开通什么新的没有啊你有收到什么短信但是您订了什么业务吗 
您好请说 好稍等记录扣你好你本机下个月除了基本套餐另外有个彩铃功能 
您好请讲 十八块钱 
下午好有什么帮助您 加套餐三十八块钱噢有个来电提醒两块 
您好请说 哦 
您好很高兴为您服务 来说是的 
下午好很高兴您服务 目前套餐七十九 
我们您好请说 噢好的我帮您看了一下套餐有开一个三十元的上网流量 
您好很高兴您服务 嗯嗯 
你好 宽带密码忘记了是吗 
你要你好诶你好哎你说 稍等帮您查一下啊行好您这边本身是一百二十八套餐额外有一个两块钱的一个来电提醒然后还有一个集团微天网然后还有个三十块钱五百兆的流量套餐这些 
您好请说 嗯帮您查什么呢 
您好高兴为您服务 您好请说 
您好什么可以帮您 啊对是的 
工 您好什帮助您 
您好有什么可以帮助您 目前您这个除了五十八套餐的话有一个来电提醒业务两块钱还有一个十块钱一g的夜间流量 
您好很高兴为您服务 你好请说 
好的请稍等这张卡这五十块钱流量套餐月底取消掉 
您好高兴您服务 呃就是套餐三十九其他的您稍等一下正在帮您查 
您好请讲 好除了十八元套餐来电提醒以外有音乐十块钱包月还有社会观察家还有淘女郎飞享或这几个包月的要不要取消掉 
您好请讲 对是的一千五百多兆流量都是只能福建省之内用的 
很高兴为您服务 呃您告诉我号码多少 
下午好请说 噢对没错 
高兴您服务 嗯你好您说 
您好高兴为您服务 请稍等我马上查一下 
您好请讲 现在开通什么套餐是吗 
您好请说 本机套餐三十八的套餐就是您的基本套餐 
你好 下个月您稍等噢已经成功了新版的五十八噢 
您好请说 噢好请稍等 
您好请说 十八 
早上好请讲 啊您现在这个套餐的话呢就是一个十八块钱一个月的 
你好 这个套餐十八块钱一个月另外有来电提醒每个月三块钱 
你好请讲 您现在基本套餐是三十八元的五百兆流量一百分钟本地拨打国内通话的分钟数另外您有订购一个六十元六个g的流量现在您这边的话流量也噢这个六十元六个g的还有六个g没有用就您有个直都没有用然后省内流量的话是有还有一百兆另外活动赠送的还有一个g 
你好 您本机目前的月租是五十块钱的然后有参加活动办理嗯有参加活动还是什么呢两g的国内流量跟来电显示 
您好 嗯增值业务的话就是一个是上网的流量十块钱一百兆另外有个是来电提醒每个月两块钱噢另外的话就是您收费的业务就增值业务就这两个另外的话就是之前做活动他有送给您一个手机动漫手机动漫的话是送的活动到期自动取消掉 
您好高兴为您服务 改了一个什么幺八八全家统的话是吧对您帮我直接改回去吧就原来的那个套餐就可以还是跟原先的八十八元套餐是吗 
您好有什么可以帮您 诶 
您好请讲 您稍等一下 
您好很高兴您服务您好 嗯套餐五十八的下个月是改成新飞享五八套餐了 
您好请说 有宽带您稍等我帮您看一下 
您好高兴为您服务 那是针对于我看是有个余额支持三块钱呢然后的话还有一个六块钱短信两块钱来电提醒这些都要帮您都关掉吗 
你好您好您说 可以啊您稍等好的这个号码办理的吗 
您好请说 对 
您好请说您好 您这号码的话用的是神州行家园卡还有一个是来电显示还有一个咪咕音乐 
您好请讲 我看一下 
您好很高兴为您服务 我看您现在手机号码上就只有来电显示还有月租费其他没有的 
您好请讲 我帮您查一下您本机除了一个五十八套餐以外有个五十块钱的一个流量还有一个五块钱的语音优惠套餐包 
您好什么帮助您 噢五十元是吧好的 
您好 彩铃吗我看一下已经取消掉了呀这个月已经没有啦 
您好请讲 嗯稍等一下我看一下 
您好请讲 嗯您稍等所以您这边就飞享套餐三十八元的另外有个十块钱在指定的服务区内就说流量没有限制可以没有限制的一个可选包别的没什么有个来电提醒彩铃彩印这些是您新买卡它有做活动吗是免费赠送和你有些是赠送都已经有登记取消了您除了就三十八跟那个十元的流量啊 
您好您请说 套餐用的是二十八元套餐呃帮您下个月改成十八元套餐了呃出去以外您这边增值业务都没有办理过呀 
您好什么可以帮您 我帮您马上看一下您稍等一下 
您好很高兴为您服务 套餐是十八块钱的 
您好很高兴为您服务 嗯嗯对 
您好请讲 嗯请说 
女士您这边就一个基本套餐还有个来电提醒那还有彩铃和彩印 好那主要帮您看这个月消费主要是流量超了打电话也有打 
哎您好请讲 流量送的到十二月一号 
您好很高兴为您服务 分钟您这个是有开两个 
您好请讲 恩你好 
嗯嗯哎您好请讲对 宽带呃是不能用的是吗没有着急我帮您转接宽带专席为您查询一下是哪里有故障了稍等一下 
您好请讲 嗯宽带怎么了 
您好请讲 恩您稍等它的基础月租的话是五块保底消费十块钱有一个上网套餐五块然后有一个来电显示六块除了这些业务以外您这张卡上面没有其他的收费了 
您好请讲 本机您套餐是一个新飞享八十八元的套餐另外的话有一个原价五十元一g流量包现在的话是收十块钱的一个活动他要到十二月一号我帮你设定一下让它到期自动关掉 
您好请说 我给您看一下稍等一下啊 
很高兴为您服务 宽带稍等 
你好什么需要帮助您 我这个手机 
您好请讲 套餐是三十八的飞享套餐 
您好很高兴为您服务 幺三八 
您好请讲 您好请说 
您好请讲 你好 
啊啊你好动 请稍等我看一下流量套餐您这个是呃三十元五百兆的您可以改一下我们现在三十元已经升级有一个g的流量 
你好请讲 请稍等一下嗯是的诶那别人的已经好像说十月十一月一日品就 
呃您好请说 呃卡的基本包是流量卡五零套餐 
处理您好请讲诶你好 是的 
我看一下您稍等没有分钟数这个两百分钟是全国可以打的套餐里面是都可以打赠送两百分钟只能在本地打如果您在外地两百分钟还可以用 接听都免费的 
您好请说 国际长途 
您好请讲 稍等一下哈 
您好请讲 诶您好 
您好请讲 你好 
您好请讲 改密码那您稍等我帮您的我拿您手机有开一个十块钱的短信套餐 
您好请讲 好的 
您好请说 好您稍等我给您查询一下是五十元流量包活动到下个月到期现在帮您下个月取消吗 
您好请讲 噢您稍等我看一下 
您好 稍等我看一下啊嗯嗯呃五十块钱一个g的之前活动的这个月这个应该是就对对对对对他们说下个月 
很高兴为您服务 对高校任我用的这个流量套餐 
你 全部淘宝您办的是那个三十八套餐嘛套餐费三十八的 
听哎您好请讲 噢您好您说 
再见您好请说 对我看一下您稍等 
你好嗯 诶您好 
您好请讲 好的您稍等帮您看一下您是一个基本的套餐然后有一个是来电提醒还有个咪咕特级会员就彩铃幺二五八零会员还有一个彩印那这些帮您取消掉好吧 
呃什么套餐关闭啊 呃五十块的是基本套餐这个不能取消啊如果您觉得不适合看一下换一下套餐改其他套餐五十套餐就没有了 
呃您好请讲 哎您说 
我帮您查了一下本机目前的话是五十八块钱的新飞享套餐 比如说两千五百七十二兆流量是福建省内用全国流量是五百兆然后分钟数的话它是三百分钟本地有一百分钟全国用 
你好 嗯嗯 
您好请说 呃您稍等哦我这边马上帮您查询看一下 
您好有什么可以帮您 嗯先生我查看到您本没有校讯通 
您好请讲 呃我看一下我想那个已经自动取消了 
您好请说 本机是吧 
您好请说 呃那您是说您这号码办理的宽带不是您本人在用对吗地址什么地址吗 
可以您好很高兴为您服务 嗯您现在是飞享五八套餐这五十八块钱的就是有一百分钟通话五百兆流量跟来电显示的这五十八块然后其他是有办了一个那个流量的优惠活动啊五十元两g的每个月返您二十元刚才说您出三十元噢有两个g 
你好需要什么帮助 等一下本机吗本机里面还有钱还有二十八块三毛二他没有打也是扣钱嗯 
哎您好请说 最便宜的是吗 
您好很高兴为您服务 诶 
嗯嗯 您好 
已经 你好请讲 
你好 啊您这边目前收费的话就是套餐费八十八另外有个是无线wifiwlan的这个十块钱 
您好请讲 您好 
您好很高兴为您服务 它有个五十元的那个流量包您还要吗不要我这边帮您关掉下个月就没有了 
啊 嗯有的 
您好请讲 噢您套餐是八块钱一个月的然后其他的业务就没有办理了对 
您好您说 好帮您查看一下您这边 
你好你好 请稍等我帮您看一下诶好的有三个业务目前是送的十二月一号后是您自己付的您看要不要给您登记到期自动关一个是来电提醒还有差不多特别会员跟一个彩印全部好那等一下我帮您操作一下诶好的嗯先您好可以了这三个我都给您登记了到期后自动取消那还有其他需求好好好谢谢您不客气感谢来电 
