一个您好请问您稍后宽带办理还是咨询是是办理我做的是幺八八的套餐原来有送宽带的是吗哦 请问好好静安区金山路 睡觉了对 过那个没有 
您好请讲 嗯现在开通的话只有加油包啊十块钱一百兆还有一个就是六十块钱六个g用半年的只有这两个可以开了 恩好的那这也帮您开通立即生效下个月自动取消好吗 嗯好的不客气帮您开好了还有什么可以帮您的吗 
嗯您好请说 嗯您好 呃要看您买多少的都有比如说十块一百兆三十块一g五十块两g或者更高的都有 一g 
您好请问什么帮您 啊比较多种您如果是想要了解的话可以去下载一个我们幺零零八六客户端我想你给我便宜的 呃目前的话是我们帮您改了一个月十八块钱 如果要改也是要等到今年十二月份的时候申请明年一月份才能生效原来您有个八十八的一个保底的一个费用吗 
呃您好请讲 它这个高清语音通话的功能就是日子比如说您跟我正在通话过程当中那您手机也可以正常上网 这个只有一个基础功能不收费的免费的 嗯对没错 
您好高兴为您服务 其实像您这样的话目前如果说比较多的建议您的话可以改成a一下您下个月改那个新飞享三十八套餐就比较合算了 它是国内一百分钟本地的话是两百分钟然后国内流量一百兆省内流量的话是一点四g 对有改成新的套餐就比较划算了 
您好请说 有赠送帮您看一下恩那您现在还剩下三点五g的流量建议您先用的帮助完以后到时候可以再重新订 嗯那您本身已经办理了五十块的流量包了 对如果那个六十块六g的话要麻烦用完以后才能重新办 
您好请讲 流量的话比如说三十元一个g五十块两个g等等都可以的 那如果您有需要我这边直接帮您办理就行了流量套餐是按天折算一次性扣的 比如说三十块一个g五十块两个g七十块三个g等等都有 
您好你说 嗯现在您这款是新的八十八套餐人如果在福建省内用的话是五个g流量然后的话是全国打全国电话是一千两百分钟 没有无限流量的话是我们目前退款的话是一百三十八套餐本地流量不限量但是总流量达到三十几的时候上网速度变慢你有没有可能是不是卖卡的时候他推广的是一百三十八套餐然后赎回说每一年十二个月是每个月还您五十块 八十八 
吧嗯您好请讲 您现在我看一下您要加流量是吗 那您现在不这样子办一个活动的就说换一次六十块钱买六g流量六g流量在半年的一百八十天内使用有效这个是目前最划算的 对 
您好很高兴为您服务哎我那个 稍等我看一下啊套餐包月的哎谢谢您 您这个是十八元套餐的斗地主包月您都没有看一下没有 就一个 
您好请讲 你好 要使用高清语音通话就是您手机要支持四g其他功能这四g但通话的情况下才可以用 对您现在手当地有四g网络吗您手机的不是高清语音功能吗这四g网络下您高清语音功能是开启的状态下就可以享受到这个免费分钟数 
您好请说 几十块钱一个g我们都是有一个十块钱一个g办半年的也就是六十块六个g半年有效的 比如你现在开就从现在生效什么时候开就什么时候生效 嗯那那我马上去帮您开从今天开始算一百八十天也就半年有效到了自动关闭或者用完也就自动取消的 
哎您好请说 嗯我看一下啊嗯那您这边还需要流量吗 恩好的有一种飞享八套餐包含的是三十分钟的全国打全国分钟数和来电显示那您这边这个需要吗 八块钱 
您好很高兴为您服务 那流量又便宜又多的是吧 三十元一个g 对 
您好很高兴为您服务 手机流量是不是使用嗯嗯呃您要查什么没有听清你说的 好帮您查询一下帮您查询流量已经用完了 嗯流量包的话因为现在可以办理的就加油包十块一百兆或者您看一下办理我们的一个流量活动六十块六g的流量包半年都可以用半年后自动取消 
您好请讲 什么卡 就一天一块钱五百兆的对吧 不叫日租卡了 
您好请说 大概要多少兆流量三个g的号码 噢那就三十八的吧三十八套餐它是一千五百兆就是一点五个g一百兆是全国的一千四百兆是省内的一共是一点五个g然后打电话是三百分钟一百分钟是全国用两百分钟是本地打国内 本地打的话就三百分钟都能用 
您好请讲 呃请稍等帮您看一下本机的话您这边噢就是分钟数呢是一千两百分钟然后呢流量是国内打国内的分钟数流量是五个g的省内流量 呃如果去外省的话打电话那就是都可以用那跟流量方面可能要另外花钱去买套餐比如说像十块一百兆啊三十元一g五十元两g之类的 呃一百三十八无限流量的话您它是本地上网不限量的如果说您那个去外省的话呢它只能用其中里面的一个g的噢您都是在外省用还是本地用 
您好请说 就等于您套餐有更换的意思就是您这张卡本来是三十八的一五版就一百分钟一百兆流量比如说下个月那个三十八也是一样的钱也是三十八块但是下个月那个分钟数变多了变成有三百分钟流量会变成有一点五g 那一千四百多兆一百是一千五百多兆的流量你要都是在福建省内都能用的 厦门银行会说您的省内流量有一千四百三十六也就是一千四百三十六兆一百就一千五百多兆你要是都是在福建省内全部都能用的 
嗯嗯嗯嗯您好请讲 十块钱一百兆 我看一下噢呃它是十块钱一百兆啊 那如果觉得噢然后我帮您看了一下您这边是有办理这个流量安心包流量安心包的话就您套餐里面流量都用完之后超出了它就是十块钱一百兆这样子累积收费啊那您可以不用办理了呀 
哎您好请讲 两元一g 您在哪里看到的呀 您稍等你好女士它这个是一元一g的但是它只可以从周五晚上到周六周六才有的 
您好很高兴您服务 对啊您已经办理了下个月一号生效 呃再改回来是吗可以啊 你之前的那个是五折秒杀吗那改回来的话就没有五十秒杀就是八十八了 
您好请讲 目前您套餐流量是两个g的然后您这边的话额外又送了一个一百兆但是您下个月的话改了我们新飞享的一个八十八套餐流量加起来如果都在福建省的话总共是有五个g下个月的套餐五个g 对是 因为流量的话超出流量是看您怎么使用的互动图片不同网页它将产生的流量是不一样的还有您手机您不要再去营业厅搁啊或者下载呀等等 
您好很高兴为您服务喂你好诶先生您好诶我我想问一下现在还有没有 呃有啊多少钱的就是要相什么时候幺三八幺三您现在用的这种 幺三八那种您是说那个福州本地无限流量那个对不对 有那个套餐 
您好请讲 您好请说 对 嗯另外收费就超过一g之后如果当天在上网的话它就是另外收一兆两毛九 
您好高兴为您服务你好诶 比如说哪些收费的业务是吧 对有个三十流量包是要取消掉吗先生 他帮您做个登记下个月就没有然后现在流量不结转给您返还了可以了 
您好请讲 您好请讲 好稍等 您要现在要再开通流量是吗那目前有个六十块六个g一百八十天内可以用的 
好诶您好很高兴您服务 对啊三十八元的那个通话时间是没有三百分钟呃有三百分钟它是那个叫新飞享三十八的流量五百兆要改吗 对有 呢 
您好请讲 新版的您现在这个套餐是新版的九十九它有两个g的流量元话费的一个g省内的还有分钟数是三百分钟 我看一下 有的另外额外再赠送两百分钟的本地拨打全国的通话分钟数然后还有一个是额外赠送十二个月每个月三百分钟就是说有额外给您做赠送呃那个两百分钟是到一八年四月份到期还有一个三百分钟一直送到一八年十月份到期 
您好请说 我看一下您现在用的是十八块钱的套餐 那其他的我看了一下就没有订购了呀 然后套餐这个是里面含了这个就是三百兆的省内流量一百分钟的通话跟来电显示诶 
不用您好请讲 有什么可以帮助到您 什么套餐 呃您是上网流量怎么了 
您好请说 月底的加油包那这个的话等到二十五号才能开有个月末流量包七天一个g的十块钱 对对二十五号 好那还有什么可以帮您的吗 
哎你好 呃行一百分钟本地打国内电话五百兆流量来电显示其他就没有了 还有一个来电显示 这个只要不取消这个套餐它永久都存在 
哎您好请讲 没错是的我们有新套餐五十八的八十八的都有 三个g四百分钟 二点五g省内的两百分钟是三百分钟是本地的p的都是国内使用 
